RM,Spring Wheat_mean,Spring Wheat_std,Clusters_3
1,24.50813382,10.9634956,2
2,25.9288397,10.60337372,2
3,25.78058824,10.4084936,2
4,23.26011765,10.19378061,2
5,21.60729412,9.687135602,2
6,22.16070588,10.03181152,2
7,22.35097351,10.47207511,2
8,19.32717647,7.615246394,2
9,19.1485676,8.402938622,2
10,18.60687204,7.72112687,2
11,20.65692054,8.033838682,2
12,19.60272205,9.01750194,2
17,20.16719264,9.473665352,2
18,20.64647059,10.26830847,2
19,19.51682353,9.016981362,2
31,26.178,10.4059383,2
32,26.01188235,9.804758501,2
33,25.74435294,10.17305187,2
34,25.12105882,10.6694004,2
35,23.86117647,10.0603489,2
36,21.77435294,9.479128256,2
37,21.25788235,8.663084804,2
38,22.18105882,8.299933595,2
39,22.12346027,8.532332542,2
40,18.85,7.71100821,2
42,22.82494118,8.771003177,2
43,19.81717647,7.94892275,2
44,19.35517647,8.115999867,2
45,20.33389852,8.734358261,2
46,20.57885587,10.00358917,2
49,21.21310733,10.12254455,2
51,18.26976471,8.653054921,2
61,27.36870588,10.76681827,2
63,27.30882353,11.24274977,2
64,24.84164706,10.23326809,2
65,23.53658824,9.651867393,2
66,22.49058824,10.75195988,2
67,23.078,9.066937426,2
68,20.72729412,7.877403547,2
69,20.33035294,7.160415898,2
70,21.83023529,8.002440993,2
71,22.76917647,9.795298825,2
72,25.89988235,11.00020351,2
73,24.77905882,9.304166581,2
74,23.08952941,8.847398717,2
75,22.10823529,9.313686444,2
76,21.28705882,10.46977086,2
77,20.7856794,9.632910206,2
78,21.69018232,9.246597889,2
79,21.73258824,9.079373687,2
91,28.52988235,11.50322517,2
92,28.94270588,11.84760146,2
93,28.68035294,11.38920076,2
94,25.23917647,10.15082476,2
95,26.41882353,11.46345668,2
96,24.92141176,11.24303754,2
97,23.30517647,9.513220326,2
98,27.05152941,10.98098991,2
99,22.2226044,7.512717325,2
100,23.30625146,9.865309351,2
101,20.95447059,7.603236702,2
102,23.37447059,10.02519629,2
103,23.43211765,9.392006111,2
104,22.84658824,8.565841014,2
105,22.60847059,8.736815169,2
106,21.76129412,8.912062156,2
107,22.41082353,10.08675973,2
108,23.53647059,10.3473035,2
109,24.21294118,10.26069034,2
110,19.81448676,8.973804672,2
111,19.08882353,11.53046105,2
121,29.73694118,12.52117968,2
122,27.46835294,10.88368032,2
123,27.02729412,10.40715738,2
124,26.54588235,8.867920556,2
125,28.02811765,10.05268923,2
126,25.96752941,10.84123509,2
127,25.68305882,10.43659348,2
128,28.23435294,11.18990941,2
129,26.10082353,8.350458814,2
130,26.96988235,10.63465018,2
131,25.24364706,10.01129563,2
132,21.54692112,8.44704642,2
133,22.5148397,8.921799482,2
134,21.28435294,9.305396853,2
135,22.49152941,9.967620257,2
136,24.13447059,10.30492029,2
137,24.70294118,10.71563942,2
138,24.64152941,11.17235006,2
139,22.56695735,9.762830778,2
141,21.57482353,10.79789966,2
142,21.39352941,10.72617157,2
151,27.81176471,9.751635782,2
152,29.04188235,9.963306189,2
153,24.98235294,10.15613639,2
154,27.64105882,10.40463931,2
155,29.06152941,11.13654746,2
156,28.74647059,11.57122783,2
157,27.21823529,10.55091625,2
158,26.57811765,10.14526086,2
159,28.12364706,10.3752869,2
160,28.50458824,10.95323257,2
161,28.65694118,11.18599199,2
162,25.82058824,10.13986456,2
163,22.25317647,8.936217136,2
164,20.04141176,8.590466914,2
165,23.62294118,9.614140729,2
166,23.61564706,9.731227159,2
167,24.73035294,10.46684806,2
168,22.65952941,8.612717466,2
169,23.42826763,10.35579052,2
171,21.09764706,10.56386909,2
181,31.08552941,11.01720024,2
183,28.51905882,10.51478139,0
184,25.97694118,8.887740222,0
185,29.28270588,9.558508848,0
186,31.26552941,10.94598268,0
187,28.68858824,10.34095109,0
189,27.16552941,10.39470189,0
190,21.71882353,9.015013722,0
191,28.02717647,12.46040325,0
193,22.69129412,9.894189828,0
194,22.05870588,9.69997911,0
211,30.16588235,10.54710684,0
213,28.73294118,10.09997523,0
214,25.89847059,9.499981141,0
215,26.07764706,9.448129904,0
216,26.44823529,10.03617862,0
217,26.74129412,10.35638747,0
218,26.24305882,9.994125539,0
219,24.84364706,9.550558429,0
220,24.88905882,9.697020606,0
221,23.27835294,10.5746962,0
222,24.62635294,12.03112331,0
223,22.23952941,10.10017031,0
224,22.45789852,11.95747542,0
225,23.60117647,11.15317619,0
226,23.91376471,10.26421244,0
228,25.09552941,9.786833904,0
229,23.94905882,10.13316991,0
230,24.18073822,10.3942524,0
231,24.16470588,10.23269196,0
232,20.59164706,10.47951912,0
241,28.51788235,9.249338599,0
243,30.77517647,10.02667853,0
244,29.30682353,10.59219672,0
245,27.24341176,9.342721964,0
246,25.73470588,9.060415552,0
247,25.65458824,8.865322699,0
248,25.84847059,9.73241008,0
250,25.32117647,9.547292612,0
251,24.68270588,10.48605848,0
252,24.45058824,10.61413819,0
253,22.52929412,11.30190047,0
254,23.08470588,11.13460111,0
255,23.71458824,10.57339401,0
256,23.56082353,9.827386201,0
